,index,networkx_function,num_np_calls,np_calls,np_calls_w_args
26,4378,/linalg/tests/test_bethehessian.py_test_bethe_hessian,6,"['array', 'testing.assert_equal', 'testing.assert_equal', 'ix_', 'testing.assert_equal', 'testing.assert_equal']","['testing.assert_equal(nx.bethe_hessian_matrix(self.P, r=2).todense(), H)', 'ix_(permutation, permutation)']"
27,3056,/algorithms/tests/test_graphical.py_test_numpy_degree_sequence,6,"['array', 'int64', 'array', 'float64', 'array', 'float64']","['array([1, 2, 2, 2, 1], dtype=np.int64)', 'array([1, 2, 2, 2, 1], dtype=np.float64)', 'array([1.1, 2, 2, 2, 1], dtype=np.float64)']"
28,4538,/utils/tests/test_decorators.py_test_random_state_np_random,6,"['random.seed', 'random.random_sample', 'random.seed', 'random', 'random.seed', 'random']","['random.seed(42)', 'random.random_sample()', 'random.seed(42)', 'random.seed(42)']"
29,59,/drawing/layout.py_spectral_layout,6,"['array', 'array', 'array', 'zeros', 'array', 'transpose']","['array([])', 'array([center])', 'array([np.zeros(dim), np.array(center) * 2.0])', 'transpose(A)']"
30,4302,/linalg/algebraicconnectivity.py_find_fiedler,5,"['sqrt', 'asarray', 'atleast_2d', 'ones', 'atleast_2d']","['sqrt(L.diagonal())', 'asarray(np.atleast_2d(x).T)', 'ones(n)', 'atleast_2d(Y)']"
31,60,/drawing/layout.py__spectral,5,"['identity', 'sum', 'linalg.eig', 'argsort', 'real']","['identity(nnodes, dtype=A.dtype) * np.sum(A, axis=1)', 'linalg.eig(L)', 'argsort(eigenvalues)', 'real(eigenvectors[:, index])']"
32,4334,/linalg/tests/test_spectrum.py_test_laplacian_spectrum,5,"['array', 'testing.assert_almost_equal', 'testing.assert_almost_equal', 'testing.assert_almost_equal', 'testing.assert_almost_equal']","['array([0, 0, 1, 3, 4])', 'testing.assert_almost_equal(e, evals)', 'testing.assert_almost_equal(e, evals)', 'testing.assert_almost_equal(e, 0.5 * evals)', 'testing.assert_almost_equal(e, 0.3 * evals)']"
33,723,/algorithms/centrality/trophic.py_trophic_levels,5,"['sum', 'newaxis', 'eye', 'linalg.inv', 'linalg.LinAlgError']","['sum(a, axis=1)', 'eye(nn)', 'linalg.inv(i - p)']"
34,4335,/linalg/tests/test_spectrum.py_test_normalized_laplacian_spectrum,5,"['array', 'testing.assert_almost_equal', 'testing.assert_almost_equal', 'testing.assert_almost_equal', 'testing.assert_almost_equal']","['array([0, 0, 0.7712864461218, 1.5, 1.7287135538781])', 'testing.assert_almost_equal(e, evals)', 'testing.assert_almost_equal(e, evals)', 'testing.assert_almost_equal(e, evals)', 'testing.assert_almost_equal(e, evals)']"
35,3736,/algorithms/shortest_paths/dense.py_floyd_warshall_numpy,5,"['inf', 'fill_diagonal', 'minimum', 'newaxis', 'newaxis']","['fill_diagonal(A, 0)', 'minimum(A, A[i, :][np.newaxis, :] + A[:, i][:, np.newaxis])']"
36,370,/algorithms/distance_measures.py_kemeny_constant,5,"['errstate', 'sqrt', 'isinf', 'sort', 'sum']","['errstate(divide=""ignore"")', 'sqrt(diags)', 'isinf(diags_sqrt)', 'sort(sp.linalg.eigvalsh(H.todense()))', 'sum(1 / (1 - eig[:-1]))']"
37,4392,/utils/misc.py_create_random_state,5,"['random', 'random.mtrand._rand', 'random.RandomState', 'random.RandomState', 'random.Generator']",['random.RandomState(random_state)']
38,4597,/utils/tests/test_misc.py_test_PythonRandomInterface_Generator,5,"['random.default_rng', 'random.default_rng', 'all', 'all', 'all']","['random.default_rng(42)', 'random.default_rng(42))', 'all(pri.shuffle([1, 2, 3]) == rng.shuffle([1, 2, 3]))']"
39,4595,/utils/tests/test_misc.py_test_create_py_random_state,5,"['random.RandomState', 'random.default_rng', 'random.Generator', 'random.SFC64', 'random']","['random.default_rng(1000)', 'random.Generator(np.random.SFC64())']"
40,4594,/utils/tests/test_misc.py_test_create_random_state,5,"['random.RandomState', 'random', 'random.default_rng', 'random.Generator', 'all']","['random.default_rng()', 'all(rs(1).rand(10) == create_random_state(1).rand(10))']"
41,851,/algorithms/centrality/tests/test_trophic.py_test_trophic_levels_even_more_complex,5,"['array', 'array', 'ravel', 'linalg.inv', 'ones']",['ravel(np.linalg.inv(K) @ np.ones(5))']
42,4590,/utils/tests/test_misc.py_test_dict_to_numpy_array_a,5,"['testing.assert_allclose', 'array', 'testing.assert_allclose', 'array', 'testing.assert_allclose']","['testing.assert_allclose(a, np.array([[1, 2], [10, 20]]))', 'testing.assert_allclose(a, np.array([[20, 10], [2, 1]]))', 'testing.assert_allclose(a.sum(), 33)']"
43,4588,/utils/tests/test_misc.py_test__dict_to_numpy_array1,5,"['testing.assert_allclose', 'array', 'testing.assert_allclose', 'array', 'testing.assert_allclose']","['testing.assert_allclose(a, np.array([1, 2]))', 'testing.assert_allclose(a, np.array([2, 1]))', 'testing.assert_allclose(a.sum(), 3)']"
44,4338,/linalg/tests/test_spectrum.py_test_bethe_hessian_spectrum,5,"['array', 'sqrt', 'sqrt', 'testing.assert_almost_equal', 'testing.assert_almost_equal']","['array([0.5 * (9 - np.sqrt(33)), 4, 0.5 * (9 + np.sqrt(33))])', 'testing.assert_almost_equal(e, evals)', 'testing.assert_almost_equal(e1, e2)']"
45,4539,/utils/tests/test_decorators.py_test_random_state_int,5,"['random.seed', 'random.random_sample', 'random.seed', 'random.RandomState', 'random.random_sample']","['random.seed(42)', 'random.random_sample()', 'random.seed(42)', 'random.RandomState(seed).rand()', 'random.random_sample()']"
46,4344,/linalg/tests/test_attrmatrix.py_test_attr_sparse_matrix,4,"['ones', 'fill_diagonal', 'testing.assert_equal', 'array']","['ones((3, 3), float)', 'fill_diagonal(data, 0)', 'testing.assert_equal(mtx.todense(), np.array(data))']"
47,349,/algorithms/node_classification.py_local_and_global_consistency,4,"['zeros', 'sqrt', 'zeros', 'argmax']","['zeros((n_samples, n_classes))', 'sqrt(sp.sparse.csr_array(sp.sparse.diags((1.0 / degrees), offsets=0)))', 'zeros((n_samples, n_classes))', 'argmax(F, axis=1)].tolist()']"
48,4328,/linalg/tests/test_graphmatrix.py_test_incidence_matrix_simple,4,"['array', 'testing.assert_equal', 'array', 'testing.assert_equal']","['testing.assert_equal(I, expected)', 'testing.assert_equal(I, expected)']"
49,4376,/linalg/tests/test_modularity.py_test_directed_modularity,4,"['array', 'testing.assert_equal', 'testing.assert_equal', 'ix_']","['testing.assert_equal(mm, B)', 'ix_(idx_permutation, idx_permutation)']"
50,4374,/linalg/tests/test_modularity.py_test_modularity,4,"['array', 'testing.assert_equal', 'testing.assert_equal', 'ix_']","['testing.assert_equal(nx.modularity_matrix(self.G), B)', 'ix_(permutation, permutation)']"
51,64,/drawing/layout.py_multipartite_layout,4,"['repeat', 'arange', 'column_stack', 'concatenate']","['repeat(i, height)', 'arange(0, height, dtype=float)', 'column_stack([xs, ys])', 'concatenate([pos, layer_pos])']"
52,5609,/tests/test_convert_scipy.py_test_selfloop_graph,4,"['testing.assert_equal', 'array', 'testing.assert_equal', 'array']","['testing.assert_equal(M.toarray(), np.array([[1]]))', 'array([[0, 1, 0], [1, 0, 1], [0, 1, 0]])']"
53,27,/convert_matrix.py_from_numpy_array,4,"['array', 'array', 'array', 'array']","['array([[1, 1], [2, 1]])', 'array([[1, 1], [1, 2]])', 'array([[1, 1], [1, 2]])', 'array([[(1.0, 2)]], dtype=dt)']"
54,205,/drawing/tests/test_layout.py_test_spiral_layout_equidistant,4,"['array', 'linalg.norm', 'allclose', 'diff']","['array(list(pos.values()))', 'linalg.norm(p[1:] - p[:-1], axis=1)', 'allclose(np.diff(dist), 0, atol=1e-3)']"
