,function_name,np,function_np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
573,logical_not,numpy.logical_not,logical_not,https://numpy.org/doc/stable/reference/generated/numpy.logical_not.html,arkouda.array_api._elementwise_functions.logical_not,array_api._elementwise_functions.logical_not,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.logical_not,True
574,logical_or,numpy.logical_or,logical_or,https://numpy.org/doc/stable/reference/generated/numpy.logical_or.html,arkouda.array_api._elementwise_functions.logical_or,array_api._elementwise_functions.logical_or,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.logical_or,True
575,logical_xor,numpy.logical_xor,logical_xor,https://numpy.org/doc/stable/reference/generated/numpy.logical_xor.html,arkouda.array_api._elementwise_functions.logical_xor,array_api._elementwise_functions.logical_xor,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.logical_xor,True
576,logspace,numpy.logspace,logspace,https://numpy.org/doc/stable/reference/generated/numpy.logspace.html,,,,False
577,longcomplex,numpy.longcomplex,longcomplex,https://numpy.org/doc/stable/reference/generated/numpy.longcomplex.html,,,,False
578,longdouble,numpy.longdouble,longdouble,https://numpy.org/doc/stable/reference/generated/numpy.longdouble.html,,,,False
579,longfloat,numpy.longfloat,longfloat,https://numpy.org/doc/stable/reference/generated/numpy.longfloat.html,,,,False
580,longlong,numpy.longlong,longlong,https://numpy.org/doc/stable/reference/generated/numpy.longlong.html,,,,False
581,lookfor,numpy.lookfor,lookfor,https://numpy.org/doc/stable/reference/generated/numpy.lookfor.html,,,,False
582,allequal,numpy.ma.allequal,ma.allequal,https://numpy.org/doc/stable/reference/generated/numpy.ma.allequal.html,,,,False
583,anom,numpy.ma.anom,ma.anom,https://numpy.org/doc/stable/reference/generated/numpy.ma.anom.html,,,,False
584,anom,numpy.ma.MaskedArray.anom,ma.MaskedArray.anom,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.anom.html,,,,False
585,anomalies,numpy.ma.anomalies,ma.anomalies,https://numpy.org/doc/stable/reference/generated/numpy.ma.anomalies.html,,,,False
586,clump_masked,numpy.ma.clump_masked,ma.clump_masked,https://numpy.org/doc/stable/reference/generated/numpy.ma.clump_masked.html,,,,False
587,clump_unmasked,numpy.ma.clump_unmasked,ma.clump_unmasked,https://numpy.org/doc/stable/reference/generated/numpy.ma.clump_unmasked.html,,,,False
588,common_fill_value,numpy.ma.common_fill_value,ma.common_fill_value,https://numpy.org/doc/stable/reference/generated/numpy.ma.common_fill_value.html,,,,False
589,compress_cols,numpy.ma.compress_cols,ma.compress_cols,https://numpy.org/doc/stable/reference/generated/numpy.ma.compress_cols.html,,,,False
590,compress_rowcols,numpy.ma.compress_rowcols,ma.compress_rowcols,https://numpy.org/doc/stable/reference/generated/numpy.ma.compress_rowcols.html,,,,False
591,compress_rows,numpy.ma.compress_rows,ma.compress_rows,https://numpy.org/doc/stable/reference/generated/numpy.ma.compress_rows.html,,,,False
592,compressed,numpy.ma.compressed,ma.compressed,https://numpy.org/doc/stable/reference/generated/numpy.ma.compressed.html,,,,False
593,compressed,numpy.ma.MaskedArray.compressed,ma.MaskedArray.compressed,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.compressed.html,,,,False
594,count_masked,numpy.ma.count_masked,ma.count_masked,https://numpy.org/doc/stable/reference/generated/numpy.ma.count_masked.html,,,,False
595,default_fill_value,numpy.ma.default_fill_value,ma.default_fill_value,https://numpy.org/doc/stable/reference/generated/numpy.ma.default_fill_value.html,,,,False
596,filled,numpy.ma.filled,ma.filled,https://numpy.org/doc/stable/reference/generated/numpy.ma.filled.html,,,,False
597,filled,numpy.ma.MaskedArray.filled,ma.MaskedArray.filled,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.filled.html,,,,False
598,fix_invalid,numpy.ma.fix_invalid,ma.fix_invalid,https://numpy.org/doc/stable/reference/generated/numpy.ma.fix_invalid.html,,,,False
599,flatnotmasked_contiguous,numpy.ma.flatnotmasked_contiguous,ma.flatnotmasked_contiguous,https://numpy.org/doc/stable/reference/generated/numpy.ma.flatnotmasked_contiguous.html,,,,False
600,flatnotmasked_edges,numpy.ma.flatnotmasked_edges,ma.flatnotmasked_edges,https://numpy.org/doc/stable/reference/generated/numpy.ma.flatnotmasked_edges.html,,,,False
601,getdata,numpy.ma.getdata,ma.getdata,https://numpy.org/doc/stable/reference/generated/numpy.ma.getdata.html,,,,False
602,getmask,numpy.ma.getmask,ma.getmask,https://numpy.org/doc/stable/reference/generated/numpy.ma.getmask.html,,,,False
603,getmaskarray,numpy.ma.getmaskarray,ma.getmaskarray,https://numpy.org/doc/stable/reference/generated/numpy.ma.getmaskarray.html,,,,False
604,harden_mask,numpy.ma.harden_mask,ma.harden_mask,https://numpy.org/doc/stable/reference/generated/numpy.ma.harden_mask.html,,,,False
605,harden_mask,numpy.ma.MaskedArray.harden_mask,ma.MaskedArray.harden_mask,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.harden_mask.html,,,,False
606,innerproduct,numpy.ma.innerproduct,ma.innerproduct,https://numpy.org/doc/stable/reference/generated/numpy.ma.innerproduct.html,,,,False
607,is_mask,numpy.ma.is_mask,ma.is_mask,https://numpy.org/doc/stable/reference/generated/numpy.ma.is_mask.html,,,,False
608,is_masked,numpy.ma.is_masked,ma.is_masked,https://numpy.org/doc/stable/reference/generated/numpy.ma.is_masked.html,,,,False
609,isarray,numpy.ma.isarray,ma.isarray,https://numpy.org/doc/stable/reference/generated/numpy.ma.isarray.html,,,,False
610,isMA,numpy.ma.isMA,ma.isMA,https://numpy.org/doc/stable/reference/generated/numpy.ma.isMA.html,,,,False
611,isMaskedArray,numpy.ma.isMaskedArray,ma.isMaskedArray,https://numpy.org/doc/stable/reference/generated/numpy.ma.isMaskedArray.html,,,,False
612,make_mask,numpy.ma.make_mask,ma.make_mask,https://numpy.org/doc/stable/reference/generated/numpy.ma.make_mask.html,,,,False
613,make_mask_descr,numpy.ma.make_mask_descr,ma.make_mask_descr,https://numpy.org/doc/stable/reference/generated/numpy.ma.make_mask_descr.html,,,,False
614,make_mask_none,numpy.ma.make_mask_none,ma.make_mask_none,https://numpy.org/doc/stable/reference/generated/numpy.ma.make_mask_none.html,,,,False
615,mask_cols,numpy.ma.mask_cols,ma.mask_cols,https://numpy.org/doc/stable/reference/generated/numpy.ma.mask_cols.html,,,,False
616,mask_or,numpy.ma.mask_or,ma.mask_or,https://numpy.org/doc/stable/reference/generated/numpy.ma.mask_or.html,,,,False
617,mask_rowcols,numpy.ma.mask_rowcols,ma.mask_rowcols,https://numpy.org/doc/stable/reference/generated/numpy.ma.mask_rowcols.html,,,,False
618,mask_rows,numpy.ma.mask_rows,ma.mask_rows,https://numpy.org/doc/stable/reference/generated/numpy.ma.mask_rows.html,,,,False
619,masked_all,numpy.ma.masked_all,ma.masked_all,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_all.html,,,,False
620,masked_all_like,numpy.ma.masked_all_like,ma.masked_all_like,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_all_like.html,,,,False
621,masked_array,numpy.ma.masked_array,ma.masked_array,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_array.html,,,,False
622,mask,numpy.ma.masked_array.mask,ma.masked_array.mask,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_array.mask.html,,,,False
