,np_call,np_args,total_np_calls,num_statsmodels_funs_used_by
362,testing.assert_equal,err_msg,1,1
363,tile,dtype,1,1
364,unique,,1,1
365,unique,size,1,1
366,vander,N,1,1
367,var,atol,1,1
368,var,rtol,1,1
369,where,axis,1,1
370,zeros,allow_infnan,1,1
371,zeros,exog,1,1
372,zeros,trend,1,1
