networkx_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/algorithms/approximation/tests/test_kcomponents.py_test_neighbors,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_test_node_not_in_graph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_test_same,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_test_size,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_test_torrents_and_ferraro_graph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_kcomponents.py_torrents_and_ferraro_graph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_matching.py_test_min_maximal_matching,1.0,0,0,[],[]
/algorithms/approximation/tests/test_maxcut.py__cut_is_locally_optimal,1.0,0,0,[],[]
/algorithms/approximation/tests/test_maxcut.py__is_valid_cut,1.0,0,0,[],[]
/algorithms/approximation/tests/test_maxcut.py_test_negative_weights,1.0,0,0,[],[]
/algorithms/approximation/tests/test_maxcut.py_test_one_exchange_basic,1.0,0,0,[],[]
/algorithms/approximation/tests/test_maxcut.py_test_one_exchange_optimal,1.0,0,0,[],[]
/algorithms/approximation/tests/test_maxcut.py_test_raises_on_directed_and_multigraphs,1.0,0,0,[],[]
/algorithms/approximation/tests/test_maxcut.py_test_random_partitioning,1.0,0,0,[],[]
/algorithms/approximation/tests/test_maxcut.py_test_random_partitioning_all_to_one,1.0,0,0,[],[]
/algorithms/approximation/tests/test_ramsey.py_test_ramsey,1.0,0,0,[],[]
/algorithms/approximation/tests/test_steinertree.py_setup_class,1.0,0,0,[],[]
/algorithms/approximation/tests/test_steinertree.py_test_connected_metric_closure,1.0,0,0,[],[]
/algorithms/approximation/tests/test_steinertree.py_test_metric_closure,1.0,0,0,[],[]
/algorithms/approximation/tests/test_steinertree.py_test_multigraph_steiner_tree,1.0,0,0,[],[]
/algorithms/approximation/tests/test_steinertree.py_test_steiner_tree,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_fixed_asadpour,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_my_tsp_method,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_setup_class,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_TSP_incomplete_graph_short_path,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_TSP_method,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_TSP_unweighted,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_asadpour_disconnected_graph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_asadpour_empty_graph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_asadpour_incomplete_graph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_asadpour_integral_held_karp,1.0,1,1,['array'],['pdarraycreation.array']
/algorithms/approximation/tests/test_traveling_salesman.py_test_asadpour_real_world,1.0,1,1,['array'],['pdarraycreation.array']
/algorithms/approximation/tests/test_traveling_salesman.py_test_asadpour_real_world_path,1.0,1,1,['array'],['pdarraycreation.array']
/algorithms/approximation/tests/test_traveling_salesman.py_test_asadpour_tsp,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_ascent_fractional_solution,1.0,1,1,['array'],['pdarraycreation.array']
/algorithms/approximation/tests/test_traveling_salesman.py_test_ascent_method_asymmetric,1.0,1,1,['array'],['pdarraycreation.array']
/algorithms/approximation/tests/test_traveling_salesman.py_test_ascent_method_asymmetric_2,1.0,1,1,['array'],['pdarraycreation.array']
/algorithms/approximation/tests/test_traveling_salesman.py_test_christofides_hamiltonian,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_christofides_ignore_selfloops,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_christofides_incomplete_graph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_directed_tsp_impossible,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_error_on_input_order_mistake,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_failure_of_costs_too_high_when_iterations_low,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_greedy,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_held_karp_ascent,1.0,1,1,['array'],['pdarraycreation.array']
/algorithms/approximation/tests/test_traveling_salesman.py_test_held_karp_ascent_asymmetric_3,1.0,1,1,['array'],['pdarraycreation.array']
/algorithms/approximation/tests/test_traveling_salesman.py_test_held_karp_ascent_fractional_asymmetric,1.0,1,1,['array'],['pdarraycreation.array']
/algorithms/approximation/tests/test_traveling_salesman.py_test_ignore_selfloops,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_not_complete_graph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_not_weighted_graph,1.0,0,0,[],[]
