,index,function_np,total_np_calls,num_sklearn_funs_used_by,used_by_sklearn,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
67,416,argsort,43.0,36.0,True,argsort,numpy.argsort,https://numpy.org/doc/stable/reference/generated/numpy.argsort.html,arkouda.array_api._sorting_functions.argsort,array_api._sorting_functions.argsort,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._sorting_functions.argsort,True
68,417,repeat,49.0,35.0,True,repeat,numpy.repeat,https://numpy.org/doc/stable/reference/generated/numpy.repeat.html,,,,False
69,418,flatnonzero,44.0,34.0,True,flatnonzero,numpy.flatnonzero,https://numpy.org/doc/stable/reference/generated/numpy.flatnonzero.html,,,,False
70,419,diff,45.0,33.0,True,diff,numpy.diff,https://numpy.org/doc/stable/reference/generated/numpy.diff.html,,,,False
71,420,asfortranarray,38.0,33.0,True,asfortranarray,numpy.asfortranarray,https://numpy.org/doc/stable/reference/generated/numpy.asfortranarray.html,,,,False
72,421,pi,48.0,32.0,True,pi,numpy.pi,https://numpy.org/doc/stable/reference/generated/numpy.pi.html,,,,False
73,422,median,36.0,32.0,True,median,numpy.median,https://numpy.org/doc/stable/reference/generated/numpy.median.html,,,,False
74,423,clip,33.0,31.0,True,clip,numpy.clip,https://numpy.org/doc/stable/reference/generated/numpy.clip.html,,,,False
75,424,intp,47.0,30.0,True,intp,numpy.intp,https://numpy.org/doc/stable/reference/generated/numpy.intp.html,,,,False
76,425,linalg.norm,41.0,30.0,True,norm,numpy.linalg.norm,https://numpy.org/doc/stable/reference/generated/numpy.linalg.norm.html,,,,False
77,426,sort,39.0,29.0,True,sort,numpy.sort,https://numpy.org/doc/stable/reference/generated/numpy.sort.html,arkouda.sorting.sort,sorting.sort,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.sorting.sort,True
78,427,sort,39.0,29.0,True,sort,numpy.sort,https://numpy.org/doc/stable/reference/generated/numpy.sort.html,arkouda.array_api._sorting_functions.sort,array_api._sorting_functions.sort,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._sorting_functions.sort,True
79,428,allclose,40.0,27.0,True,allclose,numpy.allclose,https://numpy.org/doc/stable/reference/generated/numpy.allclose.html,,,,False
80,429,errstate,31.0,27.0,True,errstate,numpy.errstate,https://numpy.org/doc/stable/reference/generated/numpy.errstate.html,,,,False
81,430,maximum,29.0,27.0,True,maximum,numpy.maximum,https://numpy.org/doc/stable/reference/generated/numpy.maximum.html,,,,False
82,431,uint32,41.0,26.0,True,uint32,numpy.uint32,https://numpy.org/doc/stable/reference/generated/numpy.uint32.html,arkouda.dtypes.uint32,dtypes.uint32,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.dtypes.uint32,True
83,432,uint8,38.0,26.0,True,uint8,numpy.uint8,https://numpy.org/doc/stable/reference/generated/numpy.uint8.html,arkouda.dtypes.uint8,dtypes.uint8,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.dtypes.uint8,True
84,433,sign,40.0,24.0,True,sign,numpy.sign,https://numpy.org/doc/stable/reference/generated/numpy.sign.html,arkouda.numeric.sign,numeric.sign,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.sign,True
85,434,sign,40.0,24.0,True,sign,numpy.sign,https://numpy.org/doc/stable/reference/generated/numpy.sign.html,arkouda.array_api._elementwise_functions.sign,array_api._elementwise_functions.sign,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.sign,True
86,435,sin,38.0,24.0,True,sin,numpy.sin,https://numpy.org/doc/stable/reference/generated/numpy.sin.html,arkouda.numeric.sin,numeric.sin,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.sin,True
