,index,function_np,total_np_calls,num_networkx_funs_used_by,used_by_networkx,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
362,711,cross,,,,cross,numpy.cross,https://numpy.org/doc/stable/reference/generated/numpy.cross.html,,,,False
363,712,csingle,,,,csingle,numpy.csingle,https://numpy.org/doc/stable/reference/generated/numpy.csingle.html,,,,False
364,713,ctypeslib.as_array,,,,as_array,numpy.ctypeslib.as_array,https://numpy.org/doc/stable/reference/generated/numpy.ctypeslib.as_array.html,,,,False
365,714,ctypeslib.as_ctypes,,,,as_ctypes,numpy.ctypeslib.as_ctypes,https://numpy.org/doc/stable/reference/generated/numpy.ctypeslib.as_ctypes.html,,,,False
366,715,ctypeslib.as_ctypes_type,,,,as_ctypes_type,numpy.ctypeslib.as_ctypes_type,https://numpy.org/doc/stable/reference/generated/numpy.ctypeslib.as_ctypes_type.html,,,,False
367,716,cumprod,,,,cumprod,numpy.cumprod,https://numpy.org/doc/stable/reference/generated/numpy.cumprod.html,arkouda.numeric.cumprod,numeric.cumprod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumprod,True
368,717,ma.cumprod,,,,cumprod,numpy.ma.cumprod,https://numpy.org/doc/stable/reference/generated/numpy.ma.cumprod.html,arkouda.numeric.cumprod,numeric.cumprod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumprod,True
369,718,ma.MaskedArray.cumprod,,,,cumprod,numpy.ma.MaskedArray.cumprod,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.cumprod.html,arkouda.numeric.cumprod,numeric.cumprod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumprod,True
370,719,matrix.cumprod,,,,cumprod,numpy.matrix.cumprod,https://numpy.org/doc/stable/reference/generated/numpy.matrix.cumprod.html,arkouda.numeric.cumprod,numeric.cumprod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumprod,True
371,720,ndarray.cumprod,,,,cumprod,numpy.ndarray.cumprod,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.cumprod.html,arkouda.numeric.cumprod,numeric.cumprod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumprod,True
372,721,cumsum,,,,cumsum,numpy.cumsum,https://numpy.org/doc/stable/reference/generated/numpy.cumsum.html,arkouda.numeric.cumsum,numeric.cumsum,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumsum,True
373,722,ma.cumsum,,,,cumsum,numpy.ma.cumsum,https://numpy.org/doc/stable/reference/generated/numpy.ma.cumsum.html,arkouda.numeric.cumsum,numeric.cumsum,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumsum,True
374,723,ma.MaskedArray.cumsum,,,,cumsum,numpy.ma.MaskedArray.cumsum,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.cumsum.html,arkouda.numeric.cumsum,numeric.cumsum,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumsum,True
375,724,matrix.cumsum,,,,cumsum,numpy.matrix.cumsum,https://numpy.org/doc/stable/reference/generated/numpy.matrix.cumsum.html,arkouda.numeric.cumsum,numeric.cumsum,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumsum,True
376,725,ndarray.cumsum,,,,cumsum,numpy.ndarray.cumsum,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.cumsum.html,arkouda.numeric.cumsum,numeric.cumsum,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumsum,True
377,726,DataSource,,,,DataSource,numpy.DataSource,https://numpy.org/doc/stable/reference/generated/numpy.DataSource.html,,,,False
378,727,datetime_as_string,,,,datetime_as_string,numpy.datetime_as_string,https://numpy.org/doc/stable/reference/generated/numpy.datetime_as_string.html,,,,False
379,728,datetime_data,,,,datetime_data,numpy.datetime_data,https://numpy.org/doc/stable/reference/generated/numpy.datetime_data.html,,,,False
380,729,deg2rad,,,,deg2rad,numpy.deg2rad,https://numpy.org/doc/stable/reference/generated/numpy.deg2rad.html,arkouda.numeric.deg2rad,numeric.deg2rad,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.deg2rad,True
381,730,degrees,,,,degrees,numpy.degrees,https://numpy.org/doc/stable/reference/generated/numpy.degrees.html,,,,False
382,731,delete,,,,delete,numpy.delete,https://numpy.org/doc/stable/reference/generated/numpy.delete.html,,,,False
383,732,deprecate,,,,deprecate,numpy.deprecate,https://numpy.org/doc/stable/reference/generated/numpy.deprecate.html,,,,False
384,733,deprecate_with_doc,,,,deprecate_with_doc,numpy.deprecate_with_doc,https://numpy.org/doc/stable/reference/generated/numpy.deprecate_with_doc.html,,,,False
385,734,ma.diag,,,,diag,numpy.ma.diag,https://numpy.org/doc/stable/reference/generated/numpy.ma.diag.html,,,,False
