scipy_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/signal/tests/test_result_type.py_test_decimate,1.0,5,5,['ones' 'int64' 'float32' 'float64' 'ones'],"['array_api._creation_functions.ones' 'dtypes.int64' 'dtypes.float32'
 'dtypes.float64' 'pdarraycreation.ones']"
/signal/tests/test_result_type.py_test_lfilter_zi,1.0,2,2,['float32' 'array'],['dtypes.float32' 'pdarraycreation.array']
/signal/tests/test_result_type.py_test_lfiltic,1.0,5,5,['ones' 'float64' 'float32' 'array' 'ones'],"['pdarraycreation.ones' 'dtypes.float64' 'dtypes.float32'
 'pdarraycreation.array' 'array_api._creation_functions.ones']"
/signal/tests/test_result_type.py_test_sos2tf,1.0,2,2,['float32' 'array'],['dtypes.float32' 'pdarraycreation.array']
/signal/tests/test_result_type.py_test_sosfilt_zi,1.0,2,2,['array' 'float32'],['pdarraycreation.array' 'dtypes.float32']
/signal/tests/test_savitzky_golay.py_alt_sg_coeffs,0.5,4,2,['arange' 'polyval' 'arange' 'polyfit'],['pdarraycreation.arange' 'array_api._creation_functions.arange']
/signal/tests/test_savitzky_golay.py_check_polyder,1.0,0,0,[],[]
/signal/tests/test_savitzky_golay.py_compare_coeffs_to_alt,1.0,0,0,[],[]
/signal/tests/test_savitzky_golay.py_h_p_d_closed_form_1,1.0,0,0,[],[]
/signal/tests/test_savitzky_golay.py_h_p_d_closed_form_2,1.0,0,0,[],[]
/signal/tests/test_savitzky_golay.py_test_polyder,1.0,1,1,['array'],['pdarraycreation.array']
/signal/tests/test_savitzky_golay.py_test_sg_coeffs_compare,1.0,0,0,[],[]
/signal/tests/test_savitzky_golay.py_test_sg_coeffs_deriv,1.0,3,3,['full_like' 'full_like' 'array'],"['array_api._creation_functions.full_like' 'pdarraycreation.full_like'
 'pdarraycreation.array']"
/signal/tests/test_savitzky_golay.py_test_sg_coeffs_deriv_gt_polyorder,1.0,2,2,['zeros' 'zeros'],['array_api._creation_functions.zeros' 'pdarraycreation.zeros']
/signal/tests/test_savitzky_golay.py_test_sg_coeffs_even_window_length,1.0,0,0,[],[]
/signal/tests/test_savitzky_golay.py_test_sg_coeffs_exact,1.0,2,2,['linspace' 'linspace'],['pdarraycreation.linspace' 'array_api._creation_functions.linspace']
/signal/tests/test_savitzky_golay.py_test_sg_coeffs_large,1.0,0,0,[],[]
/signal/tests/test_savitzky_golay.py_test_sg_coeffs_trivial,1.0,0,0,[],[]
/signal/tests/test_savitzky_golay.py_test_sg_filter_2d,1.0,1,1,['array'],['pdarraycreation.array']
/signal/tests/test_savitzky_golay.py_test_sg_filter_basic,1.0,1,1,['array'],['pdarraycreation.array']
/signal/tests/test_savitzky_golay.py_test_sg_filter_interp_edges,1.0,9,9,"['linspace' 'array' 'full_like' 'linspace' 'ones_like' 'zeros_like'
 'full_like' 'zeros_like' 'ones_like']","['pdarraycreation.linspace' 'pdarraycreation.array'
 'array_api._creation_functions.full_like'
 'array_api._creation_functions.linspace'
 'array_api._creation_functions.ones_like'
 'array_api._creation_functions.zeros_like' 'pdarraycreation.full_like'
 'pdarraycreation.zeros_like' 'pdarraycreation.ones_like']"
