,index,function_np,total_np_calls,num_pandas_funs_used_by,used_by_pandas,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
442,791,char.swapcase,,,,swapcase,numpy.char.swapcase,https://numpy.org/doc/stable/reference/generated/numpy.char.swapcase.html,,,,False
443,792,char.title,,,,title,numpy.char.title,https://numpy.org/doc/stable/reference/generated/numpy.char.title.html,,,,False
444,793,char.translate,,,,translate,numpy.char.translate,https://numpy.org/doc/stable/reference/generated/numpy.char.translate.html,,,,False
445,794,char.upper,,,,upper,numpy.char.upper,https://numpy.org/doc/stable/reference/generated/numpy.char.upper.html,arkouda.strings.Strings.upper,strings.Strings.upper,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.upper,True
446,795,char.zfill,,,,zfill,numpy.char.zfill,https://numpy.org/doc/stable/reference/generated/numpy.char.zfill.html,,,,False
447,796,choose,,,,choose,numpy.choose,https://numpy.org/doc/stable/reference/generated/numpy.choose.html,,,,False
448,797,ma.choose,,,,choose,numpy.ma.choose,https://numpy.org/doc/stable/reference/generated/numpy.ma.choose.html,,,,False
449,798,matrix.choose,,,,choose,numpy.matrix.choose,https://numpy.org/doc/stable/reference/generated/numpy.matrix.choose.html,,,,False
450,799,ndarray.choose,,,,choose,numpy.ndarray.choose,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.choose.html,,,,False
451,800,ma.clip,,,,clip,numpy.ma.clip,https://numpy.org/doc/stable/reference/generated/numpy.ma.clip.html,,,,False
452,801,ma.MaskedArray.clip,,,,clip,numpy.ma.MaskedArray.clip,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.clip.html,,,,False
453,802,matrix.clip,,,,clip,numpy.matrix.clip,https://numpy.org/doc/stable/reference/generated/numpy.matrix.clip.html,,,,False
454,803,ndarray.clip,,,,clip,numpy.ndarray.clip,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.clip.html,,,,False
455,804,clongdouble,,,,clongdouble,numpy.clongdouble,https://numpy.org/doc/stable/reference/generated/numpy.clongdouble.html,,,,False
456,805,clongfloat,,,,clongfloat,numpy.clongfloat,https://numpy.org/doc/stable/reference/generated/numpy.clongfloat.html,,,,False
457,806,ma.column_stack,,,,column_stack,numpy.ma.column_stack,https://numpy.org/doc/stable/reference/generated/numpy.ma.column_stack.html,,,,False
458,807,common_type,,,,common_type,numpy.common_type,https://numpy.org/doc/stable/reference/generated/numpy.common_type.html,,,,False
459,808,complex_,,,,complex_,numpy.complex_,https://numpy.org/doc/stable/reference/generated/numpy.complex_.html,,,,False
460,809,complex192,,,,complex192,numpy.complex192,https://numpy.org/doc/stable/reference/generated/numpy.complex192.html,,,,False
461,810,complex256,,,,complex256,numpy.complex256,https://numpy.org/doc/stable/reference/generated/numpy.complex256.html,,,,False
462,811,matrix.compress,,,,compress,numpy.matrix.compress,https://numpy.org/doc/stable/reference/generated/numpy.matrix.compress.html,,,,False
463,812,ndarray.compress,,,,compress,numpy.ndarray.compress,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.compress.html,,,,False
464,813,ma.concatenate,,,,concatenate,numpy.ma.concatenate,https://numpy.org/doc/stable/reference/generated/numpy.ma.concatenate.html,arkouda.util.concatenate,util.concatenate,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.util.concatenate,True
465,814,ma.concatenate,,,,concatenate,numpy.ma.concatenate,https://numpy.org/doc/stable/reference/generated/numpy.ma.concatenate.html,arkouda.pdarraysetops.concatenate,pdarraysetops.concatenate,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraysetops.concatenate,True
466,815,conj,,,,conj,numpy.conj,https://numpy.org/doc/stable/reference/generated/numpy.conj.html,arkouda.array_api._elementwise_functions.conj,array_api._elementwise_functions.conj,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.conj,True
467,816,matrix.conj,,,,conj,numpy.matrix.conj,https://numpy.org/doc/stable/reference/generated/numpy.matrix.conj.html,arkouda.array_api._elementwise_functions.conj,array_api._elementwise_functions.conj,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.conj,True
468,817,ndarray.conj,,,,conj,numpy.ndarray.conj,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.conj.html,arkouda.array_api._elementwise_functions.conj,array_api._elementwise_functions.conj,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.conj,True
469,818,conjugate,,,,conjugate,numpy.conjugate,https://numpy.org/doc/stable/reference/generated/numpy.conjugate.html,,,,False
470,819,ma.conjugate,,,,conjugate,numpy.ma.conjugate,https://numpy.org/doc/stable/reference/generated/numpy.ma.conjugate.html,,,,False
471,820,matrix.conjugate,,,,conjugate,numpy.matrix.conjugate,https://numpy.org/doc/stable/reference/generated/numpy.matrix.conjugate.html,,,,False
472,821,ndarray.conjugate,,,,conjugate,numpy.ndarray.conjugate,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.conjugate.html,,,,False
473,822,convolve,,,,convolve,numpy.convolve,https://numpy.org/doc/stable/reference/generated/numpy.convolve.html,,,,False
474,823,ma.copy,,,,copy,numpy.ma.copy,https://numpy.org/doc/stable/reference/generated/numpy.ma.copy.html,,,,False
475,824,ma.MaskedArray.copy,,,,copy,numpy.ma.MaskedArray.copy,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.copy.html,,,,False
476,825,matrix.copy,,,,copy,numpy.matrix.copy,https://numpy.org/doc/stable/reference/generated/numpy.matrix.copy.html,,,,False
477,826,ndarray.copy,,,,copy,numpy.ndarray.copy,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.copy.html,,,,False
478,827,copysign,,,,copysign,numpy.copysign,https://numpy.org/doc/stable/reference/generated/numpy.copysign.html,,,,False
479,828,copyto,,,,copyto,numpy.copyto,https://numpy.org/doc/stable/reference/generated/numpy.copyto.html,,,,False
480,829,core.records.fromarrays,,,,fromarrays,numpy.core.records.fromarrays,https://numpy.org/doc/stable/reference/generated/numpy.core.records.fromarrays.html,,,,False
481,830,core.records.fromfile,,,,fromfile,numpy.core.records.fromfile,https://numpy.org/doc/stable/reference/generated/numpy.core.records.fromfile.html,,,,False
482,831,fromfile,,,,fromfile,numpy.fromfile,https://numpy.org/doc/stable/reference/generated/numpy.fromfile.html,,,,False
483,832,core.records.fromrecords,,,,fromrecords,numpy.core.records.fromrecords,https://numpy.org/doc/stable/reference/generated/numpy.core.records.fromrecords.html,,,,False
484,833,core.records.fromstring,,,,fromstring,numpy.core.records.fromstring,https://numpy.org/doc/stable/reference/generated/numpy.core.records.fromstring.html,,,,False
485,834,fromstring,,,,fromstring,numpy.fromstring,https://numpy.org/doc/stable/reference/generated/numpy.fromstring.html,,,,False
486,835,ma.corrcoef,,,,corrcoef,numpy.ma.corrcoef,https://numpy.org/doc/stable/reference/generated/numpy.ma.corrcoef.html,,,,False
