,index,function_np,total_np_calls,num_statsmodels_funs_used_by,used_by_statsmodels,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
405,754,argpartition,,,,argpartition,numpy.argpartition,https://numpy.org/doc/stable/reference/generated/numpy.argpartition.html,,,,False
406,755,matrix.argpartition,,,,argpartition,numpy.matrix.argpartition,https://numpy.org/doc/stable/reference/generated/numpy.matrix.argpartition.html,,,,False
407,756,ndarray.argpartition,,,,argpartition,numpy.ndarray.argpartition,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.argpartition.html,,,,False
408,757,ma.argsort,,,,argsort,numpy.ma.argsort,https://numpy.org/doc/stable/reference/generated/numpy.ma.argsort.html,arkouda.sorting.argsort,sorting.argsort,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.sorting.argsort,True
409,758,ma.argsort,,,,argsort,numpy.ma.argsort,https://numpy.org/doc/stable/reference/generated/numpy.ma.argsort.html,arkouda.array_api._sorting_functions.argsort,array_api._sorting_functions.argsort,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._sorting_functions.argsort,True
410,759,ma.MaskedArray.argsort,,,,argsort,numpy.ma.MaskedArray.argsort,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.argsort.html,arkouda.sorting.argsort,sorting.argsort,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.sorting.argsort,True
411,760,ma.MaskedArray.argsort,,,,argsort,numpy.ma.MaskedArray.argsort,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.argsort.html,arkouda.array_api._sorting_functions.argsort,array_api._sorting_functions.argsort,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._sorting_functions.argsort,True
412,761,matrix.argsort,,,,argsort,numpy.matrix.argsort,https://numpy.org/doc/stable/reference/generated/numpy.matrix.argsort.html,arkouda.sorting.argsort,sorting.argsort,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.sorting.argsort,True
413,762,matrix.argsort,,,,argsort,numpy.matrix.argsort,https://numpy.org/doc/stable/reference/generated/numpy.matrix.argsort.html,arkouda.array_api._sorting_functions.argsort,array_api._sorting_functions.argsort,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._sorting_functions.argsort,True
414,763,ndarray.argsort,,,,argsort,numpy.ndarray.argsort,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.argsort.html,arkouda.sorting.argsort,sorting.argsort,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.sorting.argsort,True
415,764,ndarray.argsort,,,,argsort,numpy.ndarray.argsort,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.argsort.html,arkouda.array_api._sorting_functions.argsort,array_api._sorting_functions.argsort,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._sorting_functions.argsort,True
416,765,argwhere,,,,argwhere,numpy.argwhere,https://numpy.org/doc/stable/reference/generated/numpy.argwhere.html,,,,False
417,766,around,,,,around,numpy.around,https://numpy.org/doc/stable/reference/generated/numpy.around.html,,,,False
418,767,ma.around,,,,around,numpy.ma.around,https://numpy.org/doc/stable/reference/generated/numpy.ma.around.html,,,,False
419,768,char.array,,,,array,numpy.char.array,https://numpy.org/doc/stable/reference/generated/numpy.char.array.html,arkouda.pdarraycreation.array,pdarraycreation.array,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.array,True
420,769,core.defchararray.array,,,,array,numpy.core.defchararray.array,https://numpy.org/doc/stable/reference/generated/numpy.core.defchararray.array.html,arkouda.pdarraycreation.array,pdarraycreation.array,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.array,True
421,770,core.records.array,,,,array,numpy.core.records.array,https://numpy.org/doc/stable/reference/generated/numpy.core.records.array.html,arkouda.pdarraycreation.array,pdarraycreation.array,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.array,True
422,771,array_equiv,,,,array_equiv,numpy.array_equiv,https://numpy.org/doc/stable/reference/generated/numpy.array_equiv.html,,,,False
423,772,array_repr,,,,array_repr,numpy.array_repr,https://numpy.org/doc/stable/reference/generated/numpy.array_repr.html,,,,False
424,773,array2string,,,,array2string,numpy.array2string,https://numpy.org/doc/stable/reference/generated/numpy.array2string.html,,,,False
425,774,ma.asanyarray,,,,asanyarray,numpy.ma.asanyarray,https://numpy.org/doc/stable/reference/generated/numpy.ma.asanyarray.html,,,,False
426,775,char.asarray,,,,asarray,numpy.char.asarray,https://numpy.org/doc/stable/reference/generated/numpy.char.asarray.html,arkouda.array_api._creation_functions.asarray,array_api._creation_functions.asarray,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.asarray,True
427,776,core.defchararray.asarray,,,,asarray,numpy.core.defchararray.asarray,https://numpy.org/doc/stable/reference/generated/numpy.core.defchararray.asarray.html,arkouda.array_api._creation_functions.asarray,array_api._creation_functions.asarray,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.asarray,True
428,777,ma.asarray,,,,asarray,numpy.ma.asarray,https://numpy.org/doc/stable/reference/generated/numpy.ma.asarray.html,arkouda.array_api._creation_functions.asarray,array_api._creation_functions.asarray,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.asarray,True
429,778,asarray_chkfinite,,,,asarray_chkfinite,numpy.asarray_chkfinite,https://numpy.org/doc/stable/reference/generated/numpy.asarray_chkfinite.html,,,,False
430,779,asfarray,,,,asfarray,numpy.asfarray,https://numpy.org/doc/stable/reference/generated/numpy.asfarray.html,,,,False
431,780,asmatrix,,,,asmatrix,numpy.asmatrix,https://numpy.org/doc/stable/reference/generated/numpy.asmatrix.html,,,,False
432,781,ma.atleast_1d,,,,atleast_1d,numpy.ma.atleast_1d,https://numpy.org/doc/stable/reference/generated/numpy.ma.atleast_1d.html,,,,False
433,782,ma.atleast_2d,,,,atleast_2d,numpy.ma.atleast_2d,https://numpy.org/doc/stable/reference/generated/numpy.ma.atleast_2d.html,,,,False
434,783,atleast_3d,,,,atleast_3d,numpy.atleast_3d,https://numpy.org/doc/stable/reference/generated/numpy.atleast_3d.html,,,,False
435,784,ma.atleast_3d,,,,atleast_3d,numpy.ma.atleast_3d,https://numpy.org/doc/stable/reference/generated/numpy.ma.atleast_3d.html,,,,False
436,785,ma.average,,,,average,numpy.ma.average,https://numpy.org/doc/stable/reference/generated/numpy.ma.average.html,,,,False
437,786,bartlett,,,,bartlett,numpy.bartlett,https://numpy.org/doc/stable/reference/generated/numpy.bartlett.html,,,,False
438,787,base_repr,,,,base_repr,numpy.base_repr,https://numpy.org/doc/stable/reference/generated/numpy.base_repr.html,,,,False
439,788,binary_repr,,,,binary_repr,numpy.binary_repr,https://numpy.org/doc/stable/reference/generated/numpy.binary_repr.html,,,,False
440,789,bitwise_and,,,,bitwise_and,numpy.bitwise_and,https://numpy.org/doc/stable/reference/generated/numpy.bitwise_and.html,arkouda.array_api._elementwise_functions.bitwise_and,array_api._elementwise_functions.bitwise_and,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.bitwise_and,True
441,790,bitwise_or,,,,bitwise_or,numpy.bitwise_or,https://numpy.org/doc/stable/reference/generated/numpy.bitwise_or.html,arkouda.array_api._elementwise_functions.bitwise_or,array_api._elementwise_functions.bitwise_or,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.bitwise_or,True
442,791,bitwise_xor,,,,bitwise_xor,numpy.bitwise_xor,https://numpy.org/doc/stable/reference/generated/numpy.bitwise_xor.html,arkouda.array_api._elementwise_functions.bitwise_xor,array_api._elementwise_functions.bitwise_xor,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.bitwise_xor,True
443,792,blackman,,,,blackman,numpy.blackman,https://numpy.org/doc/stable/reference/generated/numpy.blackman.html,,,,False
