,np_call,np_args,total_np_calls,num_scipy_funs_used_by
493,lib.stride_tricks.as_strided,strides,1,1
494,linalg.inv,decimal,1,1
495,linalg.matrix_rank,,1,1
496,linalg.qr,mode,1,1
497,linalg.solve,atol,1,1
498,linalg.svd,compute_uv,1,1
499,linalg.svd,full_matrices,1,1
500,linalg.svd,size,1,1
501,linspace,retstep,1,1
502,linspace,weights,1,1
503,load,allow_pickle,1,1
504,loadtxt,skiprows,1,1
505,log,,1,1
506,log,ddof,1,1
507,log,dtype,1,1
508,log,k,1,1
509,log,mu,1,1
510,log,n,1,1
511,log,out,1,1
512,log,p,1,1
513,log10,linestyle,1,1
514,log10,ls,1,1
515,log10,weights,1,1
516,log1p,rtol,1,1
517,logspace,num,1,1
518,ma.asarray,dtype,1,1
519,ma.var,axis,1,1
520,ma.var,ddof,1,1
521,matmul,atol,1,1
522,max,,1,1
523,maximum,dtype,1,1
524,maximum,linewidth,1,1
525,mean,rtol,1,1
526,mean,scale,1,1
527,meshgrid,sparse,1,1
528,min,decimal,1,1
529,minimum,axis,1,1
530,minimum.accumulate,axis,1,1
531,minimum.accumulate,out,1,1
532,moveaxis,,1,1
533,moveaxis,axis,1,1
534,moveaxis,x.shape,1,1
535,nanmax,axis,1,1
536,nanmin,axis,1,1
537,ndarray,order,1,1
538,nextafter,dtype,1,1
539,nonzero,initial,1,1
540,ones,,1,1
541,ones,b,1,1
542,ones,dual_win,1,1
543,ones,err_msg,1,1
544,ones,include_nyquist,1,1
545,ones,k,1,1
546,ones,mode,1,1
547,ones,n_fft,1,1
548,ones,nfft,1,1
549,ones,offsets,1,1
550,ones,order,1,1
551,ones,random_state,1,1
552,ones,scaling,1,1
553,ones,solver,1,1
554,ones,x0,1,1
555,percentile,a,1,1
556,percentile,q,1,1
557,place,,1,1
558,place,axis,1,1
559,power,axis,1,1
560,prod,,1,1
561,ptp,,1,1
562,ptp,rtol,1,1
563,put_along_axis,values,1,1
564,random.RandomState,size,1,1
565,random.default_rng,vectorized,1,1
566,random.lognormal,size,1,1
567,random.randint,,1,1
568,random.random,blocksize,1,1
569,random.uniform,high,1,1
570,random.uniform,low,1,1
571,ravel,,1,1
572,ravel_multi_index,order,1,1
573,real,dtype,1,1
574,rec.recarray,dtype,1,1
575,resize,mask,1,1
576,rint,out,1,1
577,round,dtype,1,1
578,setdiff1d,assume_unique,1,1
579,seterr,divide,1,1
580,sign,size,1,1
581,signbit,,1,1
582,sin,label,1,1
583,sin,scale,1,1
584,sin,size,1,1
585,sort,decimal,1,1
586,sort,order,1,1
587,spacing,rtol,1,1
588,split,axis,1,1
589,sqrt,,1,1
590,sqrt,decimal,1,1
591,sqrt,out,1,1
592,sqrt,random_state,1,1
593,sqrt,weights,1,1
594,square,axis,1,1
595,squeeze,f_A,1,1
596,squeeze,f_AB,1,1
597,squeeze,f_B,1,1
598,squeeze,label,1,1
599,squeeze,where,1,1
600,std,keepdims,1,1
601,sum,ddof,1,1
602,swapaxes,caxis,1,1
603,take_along_axis,ndmin,1,1
604,tensordot,axes,1,1
605,testing.assert_array_equal,err_msg,1,1
606,testing.assert_equal,err_msg,1,1
607,tril,dtype,1,1
608,tril_indices_from,k,1,1
609,triu,,1,1
610,triu,rtol,1,1
611,true_divide,,1,1
612,true_divide,out,1,1
613,true_divide,where,1,1
614,unravel_index,order,1,1
615,unwrap,axis,1,1
616,vander,N,1,1
617,var,copy,1,1
618,var,rtol,1,1
619,vstack,shape,1,1
620,where,atol,1,1
621,zeros,args,1,1
622,zeros,atol,1,1
623,zeros,cov,1,1
624,zeros,eigvals,1,1
625,zeros,equal_var,1,1
626,zeros,f_axis,1,1
627,zeros,k0,1,1
628,zeros,k_off,1,1
629,zeros,method,1,1
630,zeros,p0,1,1
631,zeros,p1,1,1
632,zeros,padding,1,1
633,zeros,side,1,1
634,zeros,t_axis,1,1
635,zeros,turbo,1,1
636,zeros,zi,1,1
637,zeros_like,color,1,1
