,index,function_np,total_np_calls,num_scipy_funs_used_by,used_by_scipy,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
47,396,cos,221.0,134.0,True,cos,numpy.cos,https://numpy.org/doc/stable/reference/generated/numpy.cos.html,arkouda.array_api._elementwise_functions.cos,array_api._elementwise_functions.cos,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.cos,True
48,397,allclose,203.0,134.0,True,allclose,numpy.allclose,https://numpy.org/doc/stable/reference/generated/numpy.allclose.html,,,,False
49,398,diag,251.0,129.0,True,diag,numpy.diag,https://numpy.org/doc/stable/reference/generated/numpy.diag.html,,,,False
50,399,finfo,185.0,125.0,True,finfo,numpy.finfo,https://numpy.org/doc/stable/reference/generated/numpy.finfo.html,,,,False
51,400,sort,158.0,121.0,True,sort,numpy.sort,https://numpy.org/doc/stable/reference/generated/numpy.sort.html,arkouda.sorting.sort,sorting.sort,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.sorting.sort,True
52,401,sort,158.0,121.0,True,sort,numpy.sort,https://numpy.org/doc/stable/reference/generated/numpy.sort.html,arkouda.array_api._sorting_functions.sort,array_api._sorting_functions.sort,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._sorting_functions.sort,True
53,402,issubdtype,188.0,118.0,True,issubdtype,numpy.issubdtype,https://numpy.org/doc/stable/reference/generated/numpy.issubdtype.html,,,,False
54,403,vstack,147.0,113.0,True,vstack,numpy.vstack,https://numpy.org/doc/stable/reference/generated/numpy.vstack.html,,,,False
55,404,isfinite,203.0,111.0,True,isfinite,numpy.isfinite,https://numpy.org/doc/stable/reference/generated/numpy.isfinite.html,arkouda.numeric.isfinite,numeric.isfinite,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.isfinite,True
56,405,isfinite,203.0,111.0,True,isfinite,numpy.isfinite,https://numpy.org/doc/stable/reference/generated/numpy.isfinite.html,arkouda.array_api._elementwise_functions.isfinite,array_api._elementwise_functions.isfinite,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.isfinite,True
57,406,max,155.0,109.0,True,max,numpy.max,https://numpy.org/doc/stable/reference/generated/numpy.max.html,arkouda.pdarrayclass.max,pdarrayclass.max,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.max,True
58,407,max,155.0,109.0,True,max,numpy.max,https://numpy.org/doc/stable/reference/generated/numpy.max.html,arkouda.array_api._statistical_functions.max,array_api._statistical_functions.max,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._statistical_functions.max,True
59,408,linalg.norm,146.0,106.0,True,norm,numpy.linalg.norm,https://numpy.org/doc/stable/reference/generated/numpy.linalg.norm.html,,,,False
60,409,mean,172.0,104.0,True,mean,numpy.mean,https://numpy.org/doc/stable/reference/generated/numpy.mean.html,arkouda.pdarrayclass.mean,pdarrayclass.mean,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.mean,True
61,410,mean,172.0,104.0,True,mean,numpy.mean,https://numpy.org/doc/stable/reference/generated/numpy.mean.html,arkouda.array_api._statistical_functions.mean,array_api._statistical_functions.mean,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._statistical_functions.mean,True
62,411,hstack,149.0,96.0,True,hstack,numpy.hstack,https://numpy.org/doc/stable/reference/generated/numpy.hstack.html,,,,False
63,412,newaxis,266.0,91.0,True,newaxis,numpy.newaxis,https://numpy.org/doc/stable/reference/generated/numpy.newaxis.html,,,,False
64,413,r_,126.0,89.0,True,r_,numpy.r_,https://numpy.org/doc/stable/reference/generated/numpy.r_.html,,,,False
65,414,dtype,129.0,88.0,True,dtype,numpy.dtype,https://numpy.org/doc/stable/reference/generated/numpy.dtype.html,arkouda.dtypes.dtype,dtypes.dtype,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.dtypes.dtype,True
66,415,zeros_like,110.0,88.0,True,zeros_like,numpy.zeros_like,https://numpy.org/doc/stable/reference/generated/numpy.zeros_like.html,arkouda.pdarraycreation.zeros_like,pdarraycreation.zeros_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.zeros_like,True
67,416,zeros_like,110.0,88.0,True,zeros_like,numpy.zeros_like,https://numpy.org/doc/stable/reference/generated/numpy.zeros_like.html,arkouda.array_api._creation_functions.zeros_like,array_api._creation_functions.zeros_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.zeros_like,True
68,417,int64,150.0,86.0,True,int64,numpy.int64,https://numpy.org/doc/stable/reference/generated/numpy.int64.html,arkouda.dtypes.int64,dtypes.int64,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.dtypes.int64,True
69,418,random.random,159.0,84.0,True,random,numpy.random.random,https://numpy.org/doc/stable/reference/generated/numpy.random.random.html,,,,False
70,419,diff,112.0,83.0,True,diff,numpy.diff,https://numpy.org/doc/stable/reference/generated/numpy.diff.html,,,,False
