,index,function_np,total_np_calls,num_nltk_funs_used_by,used_by_nltk,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
809,809,matlib.ones,,,,ones,numpy.matlib.ones,https://numpy.org/doc/stable/reference/generated/numpy.matlib.ones.html,arkouda.pdarraycreation.ones,pdarraycreation.ones,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.ones,True
810,810,matlib.ones,,,,ones,numpy.matlib.ones,https://numpy.org/doc/stable/reference/generated/numpy.matlib.ones.html,arkouda.array_api._creation_functions.ones,array_api._creation_functions.ones,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.ones,True
811,811,ma.ones_like,,,,ones_like,numpy.ma.ones_like,https://numpy.org/doc/stable/reference/generated/numpy.ma.ones_like.html,arkouda.pdarraycreation.ones_like,pdarraycreation.ones_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.ones_like,True
812,812,ma.ones_like,,,,ones_like,numpy.ma.ones_like,https://numpy.org/doc/stable/reference/generated/numpy.ma.ones_like.html,arkouda.array_api._creation_functions.ones_like,array_api._creation_functions.ones_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.ones_like,True
813,813,ones_like,,,,ones_like,numpy.ones_like,https://numpy.org/doc/stable/reference/generated/numpy.ones_like.html,arkouda.pdarraycreation.ones_like,pdarraycreation.ones_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarraycreation.ones_like,True
814,814,ones_like,,,,ones_like,numpy.ones_like,https://numpy.org/doc/stable/reference/generated/numpy.ones_like.html,arkouda.array_api._creation_functions.ones_like,array_api._creation_functions.ones_like,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._creation_functions.ones_like,True
815,815,ma.outer,,,,outer,numpy.ma.outer,https://numpy.org/doc/stable/reference/generated/numpy.ma.outer.html,,,,False
816,816,outer,,,,outer,numpy.outer,https://numpy.org/doc/stable/reference/generated/numpy.outer.html,,,,False
817,817,ma.outerproduct,,,,outerproduct,numpy.ma.outerproduct,https://numpy.org/doc/stable/reference/generated/numpy.ma.outerproduct.html,,,,False
818,818,ma.polyfit,,,,polyfit,numpy.ma.polyfit,https://numpy.org/doc/stable/reference/generated/numpy.ma.polyfit.html,,,,False
819,819,polyfit,,,,polyfit,numpy.polyfit,https://numpy.org/doc/stable/reference/generated/numpy.polyfit.html,,,,False
820,820,polynomial.polynomial.polyfit,,,,polyfit,numpy.polynomial.polynomial.polyfit,https://numpy.org/doc/stable/reference/generated/numpy.polynomial.polynomial.polyfit.html,,,,False
821,821,ma.row_stack,,,,row_stack,numpy.ma.row_stack,https://numpy.org/doc/stable/reference/generated/numpy.ma.row_stack.html,,,,False
822,822,row_stack,,,,row_stack,numpy.row_stack,https://numpy.org/doc/stable/reference/generated/numpy.row_stack.html,,,,False
